"Month","Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Positive.Alcohol.Tests","Positive.Drug.Tests","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Hours.Engineers.On.Duty","Hours.Conductors.On.Duty","Minutes.Engineers.On.Duty","Minutes.Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","Equipment.Damage.Cost","Track.Damage.Cost","Total.Damage.Cost","summed_cost","Postive.DA.Tests"
"03",2017,"0",39,"Dark","Clear","Main","3",25.75,"North",2,"Estimated",2,3179,"Not Signaled","Direct Train Control",0,0,"No",0,2,0,0,0,1,0,0,103,0,0,1,0,0,1,4,4,55,55,33.254933,-96.802309,"3","CL","Class 1","SMT-5 - BNSF",0,15000,15000,15000,"No"
"03",2017,"13",69,"Day","Clear","Main","4",47.91,"West",7,"Recorded",7,0,"Signaled","Direct Train Control",0,0,"No",0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,50,50,33.220402,-97.571376,"4","CL","Class 1","SMT-5 - BNSF",0,11000,11000,11000,"No"
"01",2012,"0",40,"Dark","Cloudy","Main","4",34.9,"South",40,"Estimated",40,3278,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,19,0,27,0,0,1,0,1,1,5,5,10,10,36.179716,-95.526112,"4","CL","Class 1","SMT-6 - UP/KCS",717702,98655,816357,816357,"No"
"12",2013,"7",3,"Dawn","Cloudy","Main","4",46.5,"East",40,"Estimated",40,20306,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,1,143,0,0,0,0,1,0,1,1,6,6,20,20,40.659114,-98.569134,"4","CL","Class 1","SMT-6 - UP/KCS",19974,470251,490225,490225,"No"
"07",2022,"16",82,"Day","Cloudy","Main","1",0.92,"South",9,"Estimated",9,0,"Signaled","Signal Indication",0,0,"Yes",0,0,0,0,0,0,0,6,0,0,0,1,0,0,3,1,1,45,45,40.752655,-73.977295,"1","No","Class 3","SMT-1 - Amtrak, Commuter East",164559,142843,307402,307402,"No"
"07",2022,"15",76,"Day","Cloudy","Main","1",0.92,"South",10,"Estimated",10,0,"Signaled","Signal Indication",0,0,"Yes",0,0,0,0,0,0,0,8,0,0,0,1,0,0,2,1,1,45,45,40.752655,-73.977295,"1","No","Class 3","SMT-1 - Amtrak, Commuter East",116687,30484,147171,147171,"No"
"06",2022,"16",80,"Day","Clear","Main","2",2.52,"West",25,"Recorded",25,104,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,59,0,42,0,0,1,0,0,1,1,1,30,30,42.88584,-73.63506,"2","Cl","Class 2","SMT-2 - Short Line East",25000,191000,216000,216000,"No"
"06",2022,"16",78,"Day","Clear","Yard","4",8.95,"West",0,"Recorded",0,0,"Signaled","Other Than Main Track",0,0,"Yes",0,0,0,0,1,0,0,1,0,4,0,1,0,4,1,7,7,34,34,42.55269,-70.885243,"4","No","Class 3","SMT-1 - Amtrak, Commuter East",96146,34037,130183,130183,"No"
"03",2013,"18",0,"Dark","Snow","Main","1",1.56,"North",10,"Estimated",10,11600,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,88,0,0,0,0,1,0,0,1,7,7,45,45,42.760575,-71.448629,"1","Cl","Class 2","SMT-2 - Short Line East",28666,15963,44629,44629,"No"
"01",2018,"17",48,"Dusk","Clear","Main","4",47.78,"West",26,"Recorded",26,16053,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,2,114,0,0,0,0,1,0,0,1,4,4,16,16,34.398606,-103.223721,"4","CL","Class 1","SMT-5 - BNSF",20000,23000,43108,43000,"No"
"01",2018,"17",48,"Dusk","Clear","Main","4",47.78,"East",18,"Recorded",26,4455,"Signaled","Signal Indication",0,0,"No",5,4,0,0,0,0,33,0,0,0,0,1,0,0,1,5,5,56,56,34.398606,-103.223721,"4","CL","Class 1","SMT-5 - BNSF",108,0,43108,108,"No"
"12",2020,"5",25,"Dawn","Clear","Main","4",9,"North",42,"Recorded",42,3752,"Signaled","Direct Train Control",0,0,"No",22,4,0,0,0,0,42,0,82,0,0,1,0,0,1,7,7,14,14,31.511501,-89.275444,"4","CL","Class 1","SMT-3 - Norfolk Southern",1602044,643320,2245364,2245364,"No"
"09",2021,"11",75,"Day","Clear","Main","5",31.01,"East",9,"Recorded",9,13391,"Signaled","Signal Indication",0,0,"No",25,3,0,0,0,0,85,0,69,0,0,1,0,0,1,7,7,30,30,48.143441,-103.657059,"5","CL","Class 1","SMT-5 - BNSF",93103,0,93103,93103,"No"
"01",2015,"20",45,"Dusk","Clear","Main","2",250000,"South",10,"Estimated",10,4573,"Not Signaled","Direct Train Control",0,0,"No",0,3,0,0,0,0,24,0,38,0,0,1,0,0,1,4,4,35,35,36.257472,-77.024122,"2","Cl","Class 3","SMT-2 - Short Line East",22604,72739,95343,95343,"No"
"05",2019,"15",60,"Day","Clear","Siding","2",3,"West",5,"Estimated",5,1950,"Not Signaled","Other Than Main Track",0,0,"No",0,2,0,0,0,0,15,0,0,0,0,1,0,0,1,4,4,30,30,46.661705,-97.030773,"2","Cl","Class 3","SMT-8 - Short Line West",6000,22697,28697,28697,"No"
"05",2018,"17",91,"Day","Clear","Main","3",17.3,"West",15,"Estimated",20,7285,"Not Signaled","Direct Train Control",0,0,"No",0,4,0,0,0,0,34,0,92,0,0,1,0,0,1,9,9,30,30,40.656422,-95.876257,"3","CL","Class 1","SMT-6 - UP/KCS",0,33,21484,33,"No"
"02",2022,"0",25,"Dark","Clear","Main","4",18.8,"West",21,"Recorded",21,0,"Signaled","Signal Indication",0,0,"No",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,30,30,42.200337,-71.994189,"4","CL","Class 1","SMT-9 - CSX",1000000,80,1008729,1000080,"No"
"02",2022,"0",25,"Dark","Clear","Main","4",18.8,"East",0,"Estimated",21,9805,"Signaled","Signal Indication",0,0,"No",19,2,0,0,0,1,66,0,42,0,0,1,0,0,1,7,7,48,48,42.200337,-71.994189,"4","CL","Class 1","SMT-9 - CSX",8649,0,1008729,8649,"No"
"11",2013,"15",41,"Day","Clear","Main","3",6.42,"East",0,"Estimated",10,2448,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,12,0,0,0,0,1,0,0,1,3,3,30,30,42.527358,-71.708961,"3","Cl","Class 2","SMT-2 - Short Line East",5550,0,25442,5550,"No"
"05",2013,"2",50,"Dark","Clear","Main","4",108.5,"South",47,"Recorded",47,4782,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,60,0,0,0,0,1,0,0,1,4,4,45,45,37.204754,-89.633104,"4","CL","Class 1","SMT-6 - UP/KCS",4210835,3832368,8686769,8043203,"No"
"07",2019,"15",75,"Day","Clear","Main","1",1,"West",10,"Estimated",10,3350,"Not Signaled","Yard/Restricted Limits",0,1,"No",0,3,0,0,0,0,2,0,103,0,0,1,0,0,1,7,7,30,30,42.85922,-103.091842,"1","Cl","Class 3","SMT-8 - Short Line West",40000,20000,60000,60000,"Yes"
"01",2019,"20",6,"Dark","Clear","Main","4",36.2,"West",10,"Estimated",10,2650,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,1,0,0,123,0,0,1,0,0,1,5,5,4,4,40.242507,-97.388959,"4","CL","Class 1","SMT-6 - UP/KCS",72504,1792,74296,74296,"No"
"11",2021,"19",38,"Dark","Clear","Yard","1",6.54,"West",5,"Estimated",5,4470,"Signaled","Other Than Main Track",0,0,"No",0,3,0,0,0,0,11,0,21,0,0,1,0,0,1,1,1,30,30,42.55726,-71.6038,"1","Cl","Class 2","SMT-2 - Short Line East",27478,4475,31953,31953,"No"
"05",2013,"2",54,"Dark","Clear","Main","4",29.71,"South",23,"Estimated",47,8848,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,75,0,0,0,0,1,0,0,1,7,7,35,35,41.255759,-97.133582,"4","CL","Class 1","SMT-5 - BNSF",254566,389000,8686769,643566,"No"
"08",2021,"18",95,"Day","Clear","Main","4",45,"North",38,"Recorded",38,5461,"Signaled","Signal Indication",0,0,"No",120,2,0,0,0,1,0,0,122,0,0,1,0,0,1,3,3,45,45,38.708316,-94.597583,"4","CL","Class 1","SMT-6 - UP/KCS",1407264,507994,1915258,1915258,"No"
"10",2017,"13",61,"Day","Clear","Siding","1",1.5,"West",7,"Estimated",7,6721,"Not Signaled","Other Than Main Track",0,0,"No",0,3,0,0,0,0,47,0,0,0,0,1,0,1,1,3,3,35,35,36.247114,-80.838522,"1","Cl","Class 3","SMT-2 - Short Line East",75000,16000,91000,91000,"No"
"06",2019,"11",92,"Day","Clear","Yard","1",1,"South",6,"Recorded",6,1180,"Not Signaled","Other Than Main Track",0,0,"No",0,1,0,0,0,0,8,0,1,0,0,1,0,0,1,2,2,29,29,34.196169,-77.949198,"1","Cl","Class 3","SMT-2 - Short Line East",1147,26407,27554,27554,"No"
"01",2013,"10",40,"Day","Cloudy","Main","4",120.58,"West",15,"Recorded",15,0,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,1,135,0,0,0,0,1,0,0,1,5,5,50,50,41.842104,-103.614279,"4","CL","Class 1","SMT-5 - BNSF",22350,0,22350,22350,"No"
"08",2018,"12",83,"Day","Clear","Main","4",9.2,"East",13,"Recorded",13,0,"Signaled","Signal Indication",0,0,"Yes",0,0,0,0,0,0,0,8,0,0,0,1,0,1,1,5,5,28,28,40.750304,-73.916493,"4","No","Class 3","SMT-1 - Amtrak, Commuter East",162153,6195,168348,168348,"No"
"01",2015,"10",25,"Day","Snow","Main","3",8.4,"West",16,"Recorded",16,8230,"Not Signaled","Yard/Restricted Limits",0,0,"No",54,2,0,0,0,0,52,0,9,0,0,1,0,0,1,11,11,40,40,40.349337,-80.964623,"3","Cl","Class 2","SMT-2 - Short Line East",268847,8279,307126,277126,"No"
"01",2015,"10",25,"Day","Snow","Main","3",8.4,"West",0,"Estimated",16,10530,"Not Signaled","Yard/Restricted Limits",0,0,"No",0,3,0,0,0,0,81,0,0,0,0,1,0,0,1,7,7,35,35,40.349337,-80.964623,"3","Cl","Class 2","SMT-2 - Short Line East",30000,0,307126,30000,"No"
"03",2019,"1",41,"Dark","Clear","Main","3",25.3,"North",4,"Recorded",4,5475,"Signaled","Signal Indication",0,1,"No",9,2,0,0,0,0,36,0,44,0,0,1,0,0,1,8,8,50,50,32.551457,-94.364823,"3","CL","Class 1","SMT-6 - UP/KCS",161752,3170,164922,164922,"Yes"
"10",2013,"18",65,"Dusk","Clear","Main","2",25.4,"East",7,"Recorded",7,9812,"Signaled","Signal Indication",0,0,"No",0,4,0,0,0,0,81,0,17,0,0,1,0,0,1,2,2,10,10,32.732309,-97.359709,"2","CL","Class 1","SMT-6 - UP/KCS",61766,63367,125133,125133,"No"
"12",2017,"17",50,"Dusk","Cloudy","Main","3",50.2,"East",7,"Estimated",7,18694,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,137,0,35,0,0,1,0,0,1,9,9,50,50,37.790369,-79.868489,"3","CL","Class 1","SMT-9 - CSX",112599,4832,117431,117431,"No"
"08",2011,"16",84,"Day","Clear","Yard","1",3,"East",3,"Estimated",3,0,"Not Signaled","Other Than Main Track",0,0,"No",0,3,0,0,0,0,24,0,0,0,0,1,0,1,1,1,1,30,30,36.876311,-76.310323,"1","CL","Class 1","SMT-3 - Norfolk Southern",5700,20000,25700,25700,"No"
"09",2018,"20",57,"Dusk","Clear","Main","4",40.18,"West",21,"Recorded",21,17446,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,2,122,0,0,0,0,1,0,0,1,3,3,30,30,44.841554,-106.957944,"4","CL","Class 1","SMT-5 - BNSF",0,27600,27600,27600,"No"
"12",2017,"16",40,"Day","Cloudy","Main","3",69.32,"South",24,"Recorded",24,0,"Not Signaled","Yard/Restricted Limits",0,0,"No",0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,30,30,33.213881,-88.273623,"3","Cl","Class 3","SMT-2 - Short Line East",65000,0,140000,65000,"No"
"12",2017,"16",40,"Day","Cloudy","Main","3",69.32,"South",18,"Recorded",24,0,"Not Signaled","Yard/Restricted Limits",0,0,"No",0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,8,8,30,30,33.213881,-88.273623,"3","Cl","Class 3","SMT-2 - Short Line East",75000,0,140000,75000,"No"
"06",2014,"13",94,"Day","Clear","Main","2",15.03,"South",10,"Estimated",10,5717,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,26,0,61,0,0,1,0,0,1,5,5,40,40,35.927212,-89.905433,"2","CL","Class 1","SMT-5 - BNSF",60200,20500,80700,80700,"No"
"10",2014,"10",55,"Day","Clear","Main","3",2,"North",25,"Recorded",25,0,"Not Signaled","Direct Train Control",0,0,"No",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,30,30,35.869128,-94.139062,"3","Cl","Class 3","SMT-8 - Short Line West",150000,2500,327500,152500,"No"
"05",2022,"6",55,"Dawn","Clear","Main","4",136,"West",7,"Estimated",7,11681,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,79,0,66,0,0,1,0,0,1,6,6,2,2,33.674801,-92.72827,"4","CL","Class 1","SMT-6 - UP/KCS",12022,1960,13982,13982,"No"
"12",2014,"3",50,"Dark","Cloudy","Main","5",79.6,"South",4,"Recorded",4,5307,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,83,0,0,0,0,1,0,0,1,3,3,25,25,35.250339,-118.582436,"5","CL","Class 1","SMT-6 - UP/KCS",283012,26459,309471,309471,"No"
"06",2019,"10",90,"Day","Cloudy","Main","4",5.2,"East",15,"Estimated",15,3250,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,0,0,85,0,0,1,0,0,1,5,5,50,50,37.849795,-121.264168,"4","Cl","Class 3","SMT-8 - Short Line West",0,0,24856,0,"No"
"10",2011,"1",65,"Dark","Clear","Main","1",15.6,"West",9,"Recorded",9,13633,"Signaled","Signal Indication",0,0,"No",16,3,0,0,0,2,109,0,2,0,0,1,0,0,1,9,9,20,20,34.066825,-117.328015,"4","CL","Class 1","SMT-6 - UP/KCS",215145,0,260145,215145,"No"
"04",2014,"10",50,"Day","Clear","Main","5",79.5,"North",10,"Recorded",10,9111,"Signaled","Signal Indication",0,0,"No",29,4,0,0,0,2,64,0,54,0,0,1,0,0,1,9,9,19,19,35.267574,-118.603634,"5","CL","Class 1","SMT-6 - UP/KCS",17594,12896,30490,30490,"No"
"07",2011,"13",96,"Day","Clear","Main","4",19.8,"South",44,"Recorded",44,5653,"Signaled","Signal Indication",0,0,"No",16,2,0,0,0,2,38,0,30,0,0,1,0,0,1,8,8,5,5,34.545153,-117.965687,"4","CL","Class 1","SMT-6 - UP/KCS",850318,608972,1459290,1459290,"No"
"08",2015,"3",79,"Dawn","Clear","Main","2",97.9,"North",2,"Estimated",2,7454,"Not Signaled","Yard/Restricted Limits",0,0,"No",30,3,0,0,0,0,120,0,69,0,0,1,0,0,1,3,3,45,45,30.454135,-87.228817,"2","CL","Class 1","SMT-9 - CSX",84325,39056,123381,123381,"No"
"11",2015,"16",57,"Day","Clear","Main","2",27.2,"South",8,"Estimated",8,2902,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,22,0,4,0,0,1,0,0,1,4,4,4,4,33.761979,-84.431417,"2","CL","Class 1","SMT-9 - CSX",113809,0,143935,113809,"No"
"12",2015,"12",75,"Day","Cloudy","Yard","X",283000,"East",4,"Estimated",4,1654,"Not Signaled","Other Than Main Track",0,0,"No",0,2,0,0,0,0,13,0,0,0,0,1,0,0,1,5,5,40,40,32.077427,-81.122666,"X","Cl","Class 3","SMT-2 - Short Line East",11894,14000,25894,25894,"No"
"06",2013,"1",72,"Dark","Clear","Main","2",10.8,"South",30,"Recorded",30,9529,"Not Signaled","Block Register Territory",0,0,"No",8,2,0,0,0,0,78,0,33,0,0,1,0,0,1,9,9,8,8,30.785945,-83.515019,"2","CL","Class 1","SMT-9 - CSX",23281,50,23331,23331,"No"
"05",2018,"13",100,"Day","Clear","Main","4",64.16,"East",24,"Recorded",24,18590,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,1,130,0,0,0,0,1,0,0,1,4,4,14,14,41.051809,-92.475009,"4","CL","Class 1","SMT-5 - BNSF",1536181,450000,1986181,1986181,"No"
"05",2017,"11",53,"Day","Rain","Main","4",31.6,"South",33,"Recorded",33,17112,"Signaled","Direct Train Control",0,0,"No",7,4,0,0,0,1,121,0,25,0,0,1,0,0,1,2,2,30,30,43.037956,-93.231362,"4","CL","Class 1","SMT-6 - UP/KCS",1576758,381930,1958688,1958688,"No"
"04",2021,"18",65,"Dusk","Clear","Yard","1",18,"South",4,"Estimated",4,0,"Not Signaled","Other Than Main Track",0,0,"No",0,2,0,0,0,0,109,0,90,0,0,1,0,0,1,2,2,35,35,32.807144,-83.623268,"1","CL","Class 1","SMT-3 - Norfolk Southern",629,13765,14394,14394,"No"
"07",2019,"12",98,"Day","Clear","Yard","1",1.81,"South",10,"Recorded",10,0,"Not Signaled","Other Than Main Track",0,0,"No",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,30,30,32.11535,-81.146335,"1","Cl","Class 3","SMT-2 - Short Line East",17000,0,17000,17000,"No"
"06",2011,"8",75,"Day","Clear","Main","4",24,"North",30,"Estimated",30,5110,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,32,0,16,0,0,1,1,0,1,2,2,45,45,33.139446,-83.8222,"4","CL","Class 1","SMT-3 - Norfolk Southern",395000,0,395000,395000,"No"
"06",2015,"10",88,"Day","Clear","Main","2",178000,"North",4,"Estimated",4,3700,"Not Signaled","Yard/Restricted Limits",0,0,"No",0,2,0,0,0,0,37,0,0,0,0,1,0,0,1,3,3,50,50,31.742686,-81.427628,"2","Cl","Class 3","SMT-2 - Short Line East",13487,9420,22907,22907,"No"
"07",2018,"13",83,"Day","Cloudy","Main","3",22.2,"North",6,"Recorded",6,19167,"Signaled","Signal Indication",0,0,"No",2,3,0,0,0,0,24,0,0,0,0,1,0,0,1,3,3,52,52,33.548605,-84.544719,"3","CL","Class 1","SMT-9 - CSX",11298,0,17968,11298,"No"
"04",2018,"16",70,"Day","Clear","Main","3",22.4,"North",35,"Recorded",35,9117,"Signaled","Signal Indication",0,0,"No",36,3,0,0,0,0,45,0,107,0,0,1,0,0,1,2,2,18,18,34.067101,-84.680702,"3","CL","Class 1","SMT-9 - CSX",101283,11461,112744,112744,"No"
"12",2013,"12",63,"Day","Clear","Main","4",10.2,"South",54,"Estimated",54,6768,"Signaled","Signal Indication",0,0,"No",3,2,0,0,0,0,39,0,1,0,0,1,0,0,1,9,9,5,5,31.449955,-82.513235,"4","CL","Class 1","SMT-9 - CSX",1988522,200300,2188822,2188822,"No"
"03",2017,"4",38,"Dawn","Clear","Main","2",27,"East",2,"Recorded",2,500,"Not Signaled","Direct Train Control",0,0,"No",0,1,0,0,0,0,10,0,14,0,0,1,0,0,1,6,6,15,15,32.506674,-81.434497,"2","CL","Class 1","SMT-3 - Norfolk Southern",4334,8800,13134,13134,"No"
"10",2018,"3",74,"Dark","Cloudy","Main","4",70,"South",22,"Estimated",22,12451,"Signaled","Signal Indication",0,0,"No",6,4,0,0,0,0,103,0,28,0,0,1,0,0,1,8,8,45,45,32.896516,-84.71489,"4","CL","Class 1","SMT-9 - CSX",4560,33595,38155,38155,"No"
"01",2019,"20",50,"Dark","Clear","Main","4",13,"East",47,"Recorded",47,4360,"Not Signaled","Direct Train Control",0,0,"No",33,2,0,0,0,0,50,0,53,0,0,1,0,0,1,4,4,28,28,32.900986,-82.493887,"4","CL","Class 1","SMT-3 - Norfolk Southern",2279395,1466591,3745986,3745986,"No"
"08",2019,"17",86,"Dusk","Clear","Main","3",27.3,"South",22,"Recorded",22,0,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,9,9,30,30,33.957069,-84.008609,"3","CL","Class 1","SMT-9 - CSX",4871,64,14835,4935,"No"
"03",2013,"14",75,"Day","Clear","Main","3",1.2,"North",8,"Recorded",8,256,"Not Signaled","Direct Train Control",0,0,"No",1,2,0,0,0,0,0,0,8,0,0,1,0,0,2,9,9,15,15,27.123752,-81.346153,"3","Cl","Class 3","SMT-2 - Short Line East",22550,0,22550,22550,"No"
"01",2014,"19",30,"Dark","Sleet","Main","4",16,"South",43,"Recorded",43,5448,"Not Signaled","Block Register Territory",0,0,"No",16,4,0,0,0,0,42,0,27,0,0,1,0,0,1,6,6,12,12,30.787545,-87.323688,"4","CL","Class 1","SMT-9 - CSX",914867,400000,1314867,1314867,"No"
"03",2013,"2",51,"Dark","Clear","Main","1",43.6,"North",7,"Recorded",7,6611,"Not Signaled","Direct Train Control",0,0,"No",19,4,0,0,0,0,22,0,92,0,0,1,0,0,1,2,2,29,29,33.458597,-81.960634,"1","CL","Class 1","SMT-9 - CSX",20275,500,20775,20775,"No"
"06",2022,"4",80,"Dawn","Cloudy","Main","4",60.3,"South",45,"Recorded",45,7378,"Signaled","Signal Indication",0,0,"No",0,4,0,0,0,0,76,0,132,0,0,1,0,0,1,8,8,55,55,31.809105,-81.560662,"4","CL","Class 1","SMT-9 - CSX",37909,2210,40119,40119,"No"
"07",2020,"20",90,"Dusk","Clear","Main","2",10,"South",9,"Estimated",9,19966,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,148,0,67,0,0,1,0,0,1,10,10,15,15,30.331924,-81.682353,"2","CL","Class 1","SMT-9 - CSX",44552,97,44649,44649,"No"
"09",2021,"6",70,"Dark","Clear","Main","4",13,"South",71,"Recorded",71,0,"Signaled","Signal Indication",0,0,"Yes",0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,2,2,35,35,28.392735,-81.374537,"4","Cl","Class 3","SMT-1 - Amtrak, Commuter East",40000,28896,68896,68896,"No"
"12",2019,"2",70,"Dark","Clear","Main","3",1,"North",24,"Recorded",24,0,"Not Signaled","Direct Train Control",0,0,"No",0,1,0,0,0,0,0,0,12,0,0,1,0,0,1,6,6,39,39,26.667715,-80.7486,"3","Cl","Class 3","SMT-2 - Short Line East",1000,0,1000,1000,"No"
"02",2019,"4",70,"Dark","Clear","Main","4",2.45,"North",10,"Estimated",10,0,"Not Signaled","Block Register Territory",0,0,"No",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,8,8,45,45,26.710404,-80.055307,"4","Cl","Class 2","SMT-2 - Short Line East",44000,0,44000,44000,"No"
"01",2021,"16",61,"Day","Rain","Main","4",75.4,"South",40,"Estimated",40,4805,"Signaled","Signal Indication",0,0,"No",0,4,0,0,0,0,63,0,21,0,0,1,0,0,1,2,2,40,40,30.730581,-81.950201,"4","CL","Class 1","SMT-9 - CSX",629,45807,46436,46436,"No"
"03",2015,"19",61,"Dusk","Cloudy","Industry","2",1.86,"North",5,"Estimated",5,0,"Not Signaled","Other Than Main Track",0,0,"No",10,2,0,0,0,0,10,0,7,0,0,1,0,0,1,6,6,10,10,32.080424,-81.028205,"2","Cl","Class 3","SMT-2 - Short Line East",7468,11417,18885,18885,"No"
"05",2012,"19",80,"Day","Cloudy","Main","1",44.1,"South",8,"Estimated",8,7780,"Signaled","Signal Indication",0,0,"No",29,6,0,0,0,0,54,0,52,0,0,1,0,0,1,6,6,20,20,30.345785,-81.699865,"1","CL","Class 1","SMT-9 - CSX",23615,200,23815,23815,"No"
"04",2014,"6",68,"Dark","Clear","Main","2",51,"North",2,"Estimated",9,0,"Not Signaled","Block Register Territory",0,0,"No",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,15,15,27.394589,-80.369328,"2","Cl","Class 2","SMT-2 - Short Line East",10000,0,25000,10000,"No"
"04",2014,"6",68,"Dark","Clear","Main","2",51,"North",9,"Estimated",9,161,"Not Signaled","Block Register Territory",0,0,"No",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,15,15,27.394589,-80.369328,"2","Cl","Class 2","SMT-2 - Short Line East",15000,0,25000,15000,"No"
"04",2021,"13",72,"Day","Clear","Main","1",6.5,"South",7,"Recorded",7,8400,"Signaled","Signal Indication",0,0,"No",24,3,0,0,0,0,79,0,45,0,0,1,0,0,1,5,5,2,2,30.332804,-81.683666,"1","CL","Class 1","SMT-9 - CSX",68969,97,69066,69066,"No"
"07",2022,"11",90,"Day","Clear","Main","2",0.38,"North",17,"Estimated",17,950,"Not Signaled","Direct Train Control",0,0,"No",0,2,0,0,0,0,5,0,8,0,0,1,0,0,1,1,1,21,21,26.644535,-81.857222,"2","Cl","Class 3","SMT-2 - Short Line East",131800,1800,133600,133600,"No"
"05",2016,"6",50,"Dark","Rain","Main","3",43.6,"East",27,"Recorded",27,14489,"Signaled","Signal Indication",0,0,"No",21,3,0,0,0,0,94,0,81,0,0,1,0,0,1,10,10,35,35,38.929578,-76.993878,"3","CL","Class 1","SMT-9 - CSX",421774,487085,908859,908859,"No"
"11",2013,"16",67,"Day","Cloudy","Main","1",1968.8,"South",0,"Estimated",0,0,"Signaled","Signal Indication",0,0,"Yes",0,1,0,3,1,0,0,0,0,0,0,1,0,1,1,4,5,18,1,39.737422,-75.541177,"7","No","Class 3","SMT-1 - Amtrak, Commuter East",27000,0,30600,27000,"No"
"01",2016,"19",23,"Dark","Clear","Main","2",2.93,"West",7,"Recorded",7,0,"Signaled","Signal Indication",0,0,"No",0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,7,7,35,35,41.294955,-72.9284,"2","No","Class 3","SMT-1 - Amtrak, Commuter East",300000,102000,402000,402000,"No"
"12",2016,"13",75,"Day","Clear","Main","2",11.8,"South",5,"Recorded",5,6698,"Signaled","Signal Indication",0,0,"No",28,4,0,0,0,0,73,0,74,0,0,1,0,0,1,9,9,30,30,30.329507,-81.682026,"2","CL","Class 1","SMT-9 - CSX",59000,0,59000,59000,"No"
"05",2012,"3",50,"Dark","Cloudy","Main","4",13.08,"West",5,"Estimated",5,4286,"Signaled","Signal Indication",0,0,"No",37,7,0,0,0,0,14,0,77,0,0,1,0,0,1,8,8,10,10,40.253858,-103.624326,"4","CL","Class 1","SMT-5 - BNSF",6750,85000,91750,91750,"No"
"02",2014,"12",18,"Day","Cloudy","Main","4",19.54,"East",56,"Recorded",56,2341,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,61,0,0,0,0,1,0,0,1,9,9,5,5,40.08003,-102.251049,"4","CL","Class 1","SMT-5 - BNSF",438389,651830,1090219,1090219,"No"
"11",2012,"7",45,"Day","Clear","Main","3",0.8,"East",33,"Estimated",33,2280,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,15,0,5,0,0,1,0,1,1,3,3,15,15,38.363442,-104.957142,"3","Cl","Class 3","SMT-8 - Short Line West",400000,0,521816,400000,"No"
"10",2013,"16",45,"Day","Clear","Main","2",21.4,"West",15,"Recorded",15,12050,"Not Signaled","Direct Train Control",0,0,"No",0,2,0,0,0,0,92,0,0,0,0,1,0,0,1,5,5,15,15,38.926104,-107.520062,"2","CL","Class 1","SMT-6 - UP/KCS",14189,73561,99982,87750,"No"
