"Month","Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Positive.Alcohol.Tests","Positive.Drug.Tests","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Hours.Engineers.On.Duty","Hours.Conductors.On.Duty","Minutes.Engineers.On.Duty","Minutes.Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","Equipment.Damage.Cost","Track.Damage.Cost","Total.Damage.Cost","summed_cost","Postive.DA.Tests"
"06",2013,"19",95,"Dark","Cloudy","Main","2",1,"North",7,"Recorded",7,8886,"Not Signaled","Yard/Restricted Limits",0,0,"No",42,3,0,0,0,0,64,0,22,0,0,1,0,0,1,9,9,39,39,29.739474,-95.31171,"2","CL","Class 1","SMT-6 - UP/KCS",9535,50944,60479,60479,"No"
"09",2013,"4",59,"Dark","Clear","Main","5",74.5,"West",46,"Recorded",46,5457,"Signaled","Signal Indication",0,0,"No",2,4,0,0,0,0,71,0,0,0,0,1,0,0,1,6,6,17,17,35.256143,-101.640841,"5","CL","Class 1","SMT-5 - BNSF",2870318,365948,11973203,3236266,"No"
"09",2013,"4",59,"Dark","Clear","Main","5",74.5,"East",27,"Recorded",46,1926,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,0,0,67,0,0,1,0,0,1,2,2,12,12,35.256143,-101.640841,"5","CL","Class 1","SMT-5 - BNSF",501595,0,11973203,501595,"No"
"10",2013,"20",60,"Dark","Clear","Main","1",36.2,"East",7,"Estimated",7,12738,"Signaled","Signal Indication",0,0,"No",44,4,0,0,0,0,95,0,17,0,0,1,0,0,1,9,9,21,21,31.773687,-106.471855,"1","CL","Class 1","SMT-6 - UP/KCS",133516,9450,142966,142966,"No"
"12",2013,"5",50,"Dark","Clear","Yard","1",9,"North",5,"Estimated",5,2875,"Not Signaled","Other Than Main Track",0,0,"No",0,1,0,0,0,0,20,0,10,0,0,1,0,1,1,6,6,43,43,30.076189,-94.115644,"1","CL","Class 1","SMT-6 - UP/KCS",10700,0,52700,10700,"No"
"12",2013,"5",50,"Dark","Clear","Yard","1",9,"South",0,"Recorded",5,2577,"Not Signaled","Other Than Main Track",0,0,"No",12,1,0,0,0,0,11,0,38,0,0,1,0,1,1,5,5,15,15,30.076189,-94.115644,"1","CL","Class 1","SMT-6 - UP/KCS",42000,0,52700,42000,"No"
"04",2022,"1",69,"Dark","Clear","Main","3",17.1,"West",4,"Estimated",4,24149,"Signaled","Signal Indication",0,0,"No",47,3,0,1,0,1,183,0,12,0,0,1,0,0,1,10,10,27,27,31.775408,-106.462789,"3","CL","Class 1","SMT-6 - UP/KCS",365446,390706,756152,756152,"No"
"12",2021,"16",75,"Day","Clear","Main","3",1.8,"South",6,"Estimated",6,15082,"Not Signaled","Direct Train Control",0,0,"No",114,2,0,0,0,1,115,0,0,0,0,1,0,0,1,8,8,14,13,29.338569,-94.932253,"3","CL","Class 1","SMT-6 - UP/KCS",4281,23370,27651,27651,"No"
"09",2021,"8",74,"Day","Cloudy","Main","4",63.1,"West",11,"Estimated",11,4000,"Signaled","Signal Indication",0,0,"No",0,3,0,0,0,2,0,0,130,0,0,1,0,0,1,11,11,30,30,29.674866,-97.693033,"4","CL","Class 1","SMT-6 - UP/KCS",69339,622001,691340,691340,"No"
"10",2020,"7",45,"Dawn","Clear","Main","4",33,"North",39,"Estimated",39,14044,"Signaled","Signal Indication",0,0,"No",73,4,0,0,0,0,95,0,60,0,0,1,0,0,1,3,3,25,25,30.202878,-93.867046,"4","CL","Class 1","SMT-6 - UP/KCS",1217045,885859,2102904,2102904,"No"
