"Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","summed_cost","Postive.DA.Tests","Working.Over.8","Season"
2013,"16",85,"Day","Clear","Main","1",0.83,"West",5,"Estimated",5,250,"Not Signaled","Yard/Restricted Limits","No",0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,44.796332,-68.761367,"1","Cl","Class 2","SMT-2 - Short Line East",30118,"No","No","Spring"
2012,"2",60,"Dark","Un-Clear","Yard","1",23,"West",0,"Recorded",0,6113,"Not Signaled","Other Than Main Track","No",0,4,0,0,0,0,31,0,42,0,0,1,0,1,1,33.99742,-95.10116,"1","Cl","Class 3","SMT-8 - Short Line West",36125,"No","No","Fall"
2013,"19",95,"Dark","Un-Clear","Main","2",1,"North",7,"Recorded",7,8886,"Not Signaled","Yard/Restricted Limits","No",42,3,0,0,0,0,64,0,22,0,0,1,0,0,1,29.739474,-95.31171,"2","CL","Class 1","SMT-6 - UP/KCS",60479,"No","Yes","Spring"
2013,"4",59,"Dark","Clear","Main","5",74.5,"West",46,"Recorded",46,5457,"Signaled","Signal Indication","No",2,4,0,0,0,0,71,0,0,0,0,1,0,0,1,35.256143,-101.640841,"5","CL","Class 1","SMT-5 - BNSF",3236266,"No","No","Summer"
2013,"4",59,"Dark","Clear","Main","5",74.5,"East",27,"Recorded",46,1926,"Signaled","Signal Indication","No",0,2,0,0,0,0,0,0,67,0,0,1,0,0,1,35.256143,-101.640841,"5","CL","Class 1","SMT-5 - BNSF",501595,"No","No","Summer"
2013,"20",60,"Dark","Clear","Main","1",36.2,"East",7,"Estimated",7,12738,"Signaled","Signal Indication","No",44,4,0,0,0,0,95,0,17,0,0,1,0,0,1,31.773687,-106.471855,"1","CL","Class 1","SMT-6 - UP/KCS",142966,"No","Yes","Fall"
2013,"5",50,"Dark","Clear","Yard","1",9,"North",5,"Estimated",5,2875,"Not Signaled","Other Than Main Track","No",0,1,0,0,0,0,20,0,10,0,0,1,0,1,1,30.076189,-94.115644,"1","CL","Class 1","SMT-6 - UP/KCS",10700,"No","No","Fall"
2013,"5",50,"Dark","Clear","Yard","1",9,"South",0,"Recorded",5,2577,"Not Signaled","Other Than Main Track","No",12,1,0,0,0,0,11,0,38,0,0,1,0,1,1,30.076189,-94.115644,"1","CL","Class 1","SMT-6 - UP/KCS",42000,"No","No","Fall"
2022,"1",69,"Dark","Clear","Main","3",17.1,"West",4,"Estimated",4,24149,"Signaled","Signal Indication","No",47,3,0,1,0,1,183,0,12,0,0,1,0,0,1,31.775408,-106.462789,"3","CL","Class 1","SMT-6 - UP/KCS",756152,"No","Yes","Spring"
2021,"16",75,"Day","Clear","Main","3",1.8,"South",6,"Estimated",6,15082,"Not Signaled","Direct Train Control","No",114,2,0,0,0,1,115,0,0,0,0,1,0,0,1,29.338569,-94.932253,"3","CL","Class 1","SMT-6 - UP/KCS",27651,"No","No","Fall"
2021,"8",74,"Day","Un-Clear","Main","4",63.1,"West",11,"Estimated",11,4000,"Signaled","Signal Indication","No",0,3,0,0,0,2,0,0,130,0,0,1,0,0,1,29.674866,-97.693033,"4","CL","Class 1","SMT-6 - UP/KCS",691340,"No","Yes","Summer"
2020,"7",45,"Dark","Clear","Main","4",33,"North",39,"Estimated",39,14044,"Signaled","Signal Indication","No",73,4,0,0,0,0,95,0,60,0,0,1,0,0,1,30.202878,-93.867046,"4","CL","Class 1","SMT-6 - UP/KCS",2102904,"No","No","Fall"
2020,"19",82,"Day","Un-Clear","Main","3",18.2,"South",7,"Estimated",7,10083,"Not Signaled","Direct Train Control","No",0,3,0,0,0,0,74,0,11,0,0,1,0,0,1,30.007146,-97.162918,"3","CL","Class 1","SMT-6 - UP/KCS",24158,"No","No","Fall"
2022,"23",56,"Dark","Un-Clear","Main","3",15.8,"North",29,"Recorded",29,12014,"Signaled","Signal Indication","No",0,2,0,0,1,0,97,0,77,0,0,1,0,0,1,33.775452,-96.619039,"3","CL","Class 1","SMT-6 - UP/KCS",99031,"No","Yes","Fall"
2019,"4",71,"Dark","Un-Clear","Main","4",41,"South",7,"Recorded",7,18205,"Signaled","Signal Indication","No",2,3,0,0,0,2,129,0,27,0,0,1,0,0,1,30.567489,-97.405886,"4","CL","Class 1","SMT-6 - UP/KCS",501325,"No","Yes","Spring"
2022,"0",53,"Dark","Clear","Main","5",19.7,"East",8,"Estimated",8,2596,"Signaled","Signal Indication","No",0,2,0,0,0,0,3,0,66,0,0,1,0,1,1,31.738096,-106.370813,"5","CL","Class 1","SMT-6 - UP/KCS",53176,"No","No","Fall"
2019,"21",93,"Dark","Clear","Main","1",26.1,"North",8,"Recorded",8,7273,"Signaled","Signal Indication","No",0,5,0,0,0,0,47,0,44,0,0,1,0,0,1,29.389785,-98.541584,"1","CL","Class 1","SMT-6 - UP/KCS",625335,"No","No","Summer"
2019,"0",53,"Dark","Clear","Main","2",64,"North",3,"Estimated",3,17499,"Signaled","Signal Indication","No",0,5,0,0,0,0,122,0,49,0,0,1,0,0,1,29.754705,-95.302403,"2","CL","Class 1","SMT-6 - UP/KCS",75480,"No","No","Winter"
2017,"8",81,"Day","Clear","Main","1",32.2,"South",5,"Estimated",5,9979,"Not Signaled","Yard/Restricted Limits","No",0,3,0,0,0,0,84,0,0,0,0,1,0,0,2,30.883005,-96.595482,"1","CL","Class 1","SMT-6 - UP/KCS",18521,"No","No","Summer"
2022,"13",92,"Day","Clear","Main","3",28.4,"South",28,"Estimated",28,18793,"Signaled","Signal Indication","No",66,4,0,0,0,0,109,0,160,0,0,1,0,0,1,30.468481,-96.72721,"3","CL","Class 1","SMT-6 - UP/KCS",52875,"No","No","Summer"
2017,"11",91,"Day","Clear","Main","4",43.3,"South",0,"Estimated",14,14756,"Signaled","Signal Indication","No",0,3,0,0,0,1,113,0,0,0,0,1,0,0,1,30.986681,-97.273469,"4","CL","Class 1","SMT-5 - BNSF",13000,"No","No","Summer"
2021,"3",60,"Dark","Un-Clear","Main","3",96.6,"North",27,"Recorded",27,11300,"Signaled","Signal Indication","No",36,5,0,1,0,0,74,0,56,0,0,1,0,0,1,36.244176,-86.724965,"3","CL","Class 1","SMT-9 - CSX",650651,"No","No","Winter"
